"region","tons","product","year","species"
"X","0","oil",2013,"AGUJILLA"
"X","0","oil",2013,"AGUJILLA"
"X","0","oil",2013,"ANCHOVETA"
"X","26","oil",2013,"ANCHOVETA"
"X","0","oil",2013,"BACALADILLO O MOTE"
"X","6","oil",2013,"BACALADILLO O MOTE"
"X","0","oil",2013,"CABALLA"
"X","0","oil",2013,"CABALLA"
"X","0","oil",2013,"JUREL"
"X","1","oil",2013,"JUREL"
"X","0","oil",2013,"MACHUELO O TRITRE"
"X","0","oil",2013,"MACHUELO O TRITRE"
"X","0","oil",2013,"MERLUZA DE COLA"
"X","0","oil",2013,"MERLUZA DE COLA"
"X","0","oil",2013,"PAMPANITO"
"X","0","oil",2013,"PAMPANITO"
"X","0","oil",2013,"PESCADO NO CLASIFICADO"
"X","0","oil",2013,"PESCADO NO CLASIFICADO"
"X","0","oil",2013,"SARDINA AUSTRAL"
"X","2610","oil",2013,"SARDINA AUSTRAL"
"X","0","oil",2013,"SARDINA COMUN"
"X","607","oil",2013,"SARDINA COMUN"
"X","0","oil",2013,"JIBIA O CALAMAR ROJO"
"X","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XI","0","oil",2013,"AGUJILLA"
"XI","0","oil",2013,"AGUJILLA"
"XI","0","oil",2013,"ANCHOVETA"
"XI","0","oil",2013,"ANCHOVETA"
"XI","0","oil",2013,"BACALADILLO O MOTE"
"XI","0","oil",2013,"BACALADILLO O MOTE"
"XI","0","oil",2013,"CABALLA"
"XI","0","oil",2013,"CABALLA"
"XI","0","oil",2013,"JUREL"
"XI","0","oil",2013,"JUREL"
"XI","0","oil",2013,"MACHUELO O TRITRE"
"XI","0","oil",2013,"MACHUELO O TRITRE"
"XI","0","oil",2013,"MERLUZA DE COLA"
"XI","0","oil",2013,"MERLUZA DE COLA"
"XI","0","oil",2013,"PAMPANITO"
"XI","0","oil",2013,"PAMPANITO"
"XI","0","oil",2013,"PESCADO NO CLASIFICADO"
"XI","0","oil",2013,"PESCADO NO CLASIFICADO"
"XI","0","oil",2013,"SARDINA AUSTRAL"
"XI","0","oil",2013,"SARDINA AUSTRAL"
"XI","0","oil",2013,"SARDINA COMUN"
"XI","0","oil",2013,"SARDINA COMUN"
"XI","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XI","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XII","0","oil",2013,"AGUJILLA"
"XII","0","oil",2013,"AGUJILLA"
"XII","0","oil",2013,"ANCHOVETA"
"XII","0","oil",2013,"ANCHOVETA"
"XII","0","oil",2013,"BACALADILLO O MOTE"
"XII","0","oil",2013,"BACALADILLO O MOTE"
"XII","0","oil",2013,"CABALLA"
"XII","0","oil",2013,"CABALLA"
"XII","0","oil",2013,"JUREL"
"XII","0","oil",2013,"JUREL"
"XII","0","oil",2013,"MACHUELO O TRITRE"
"XII","0","oil",2013,"MACHUELO O TRITRE"
"XII","0","oil",2013,"MERLUZA DE COLA"
"XII","0","oil",2013,"MERLUZA DE COLA"
"XII","0","oil",2013,"PAMPANITO"
"XII","0","oil",2013,"PAMPANITO"
"XII","0","oil",2013,"PESCADO NO CLASIFICADO"
"XII","0","oil",2013,"PESCADO NO CLASIFICADO"
"XII","0","oil",2013,"SARDINA AUSTRAL"
"XII","0","oil",2013,"SARDINA AUSTRAL"
"XII","0","oil",2013,"SARDINA COMUN"
"XII","0","oil",2013,"SARDINA COMUN"
"XII","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XII","0","oil",2013,"JIBIA O CALAMAR ROJO"
"RM","0","oil",2013,"AGUJILLA"
"RM","0","oil",2013,"AGUJILLA"
"RM","0","oil",2013,"ANCHOVETA"
"RM","0","oil",2013,"ANCHOVETA"
"RM","0","oil",2013,"BACALADILLO O MOTE"
"RM","0","oil",2013,"BACALADILLO O MOTE"
"RM","0","oil",2013,"CABALLA"
"RM","0","oil",2013,"CABALLA"
"RM","0","oil",2013,"JUREL"
"RM","0","oil",2013,"JUREL"
"RM","0","oil",2013,"MACHUELO O TRITRE"
"RM","0","oil",2013,"MACHUELO O TRITRE"
"RM","0","oil",2013,"MERLUZA DE COLA"
"RM","0","oil",2013,"MERLUZA DE COLA"
"RM","0","oil",2013,"PAMPANITO"
"RM","0","oil",2013,"PAMPANITO"
"RM","0","oil",2013,"PESCADO NO CLASIFICADO"
"RM","0","oil",2013,"PESCADO NO CLASIFICADO"
"RM","0","oil",2013,"SARDINA AUSTRAL"
"RM","0","oil",2013,"SARDINA AUSTRAL"
"RM","0","oil",2013,"SARDINA COMUN"
"RM","0","oil",2013,"SARDINA COMUN"
"RM","0","oil",2013,"JIBIA O CALAMAR ROJO"
"RM","0","oil",2013,"JIBIA O CALAMAR ROJO"
"XV","0","oil",2014,"AGUJILLA"
"XV","0","oil",2014,"AGUJILLA"
"XV","0","oil",2014,"ANCHOVETA"
"XV","3886","oil",2014,"ANCHOVETA"
"XV","0","oil",2014,"BACALADILLO O MOTE"
"XV","0","oil",2014,"BACALADILLO O MOTE"
"XV","0","oil",2014,"CABALLA"
"XV","8","oil",2014,"CABALLA"
"XV","0","oil",2014,"JUREL"
"XV","29","oil",2014,"JUREL"
