"species","region","tons","product","year","sc_name","en_name"
"MERLUZA DE COLA","VI",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VI",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","VI",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","VI",0,"oil",2014,"Pescado","Fish"
"REINETA","VI",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","VI",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VI",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","VI",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","VI",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","VI",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","VI",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","VII",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VII",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VII",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VII",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","VII",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VII",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VII",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VII",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","VII",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","VII",0,"oil",2014,"Pescado","Fish"
"REINETA","VII",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","VII",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VII",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","VII",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","VII",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","VII",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","VII",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","VIII",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VIII",4955,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VIII",3714,"oil",2014,"Normanichthys crockeri","Mote sculpin"
