"species","region","tons","product","year","sc_name","en_name"
"PESCADO NO CLASIFICADO","III",0,"oil",2014,"Pescado","Fish"
"REINETA","III",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","III",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","III",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","III",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","III",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","III",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","III",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","IV",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","IV",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","IV",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","IV",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","IV",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","IV",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","IV",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","IV",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","IV",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","IV",0,"oil",2014,"Pescado","Fish"
"REINETA","IV",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","IV",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","IV",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","IV",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","IV",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","IV",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","IV",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","V",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","V",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","V",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","V",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","V",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
